id,name,yearpublished,rank,numowned,numprevowned,baseid,containid,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank
448174,Kingdom Death: Monster – Great Game Crossbow Promo Card,2025,0,3,0,55690,,0,0,0,1,,,,,,,,
454328,Age of Steam Expansion: Ryukyu Journey,2025,0,4,0,4098,,0,0,0,1,,,,,,,,
474032,Kingdom Death: Monster – Feral Fists and Feral Form Promo Cards,2026,0,4,0,55690,,0,0,0,1,,,,,,,,
453504,Kingdom Death: Monster – Investment Sniper: Punctual Bride,2025,0,4,0,55690,,0,0,0,1,,,,,,,,
463526,Kingdom Death: Monster – Spidiculeg Boil Recipe Promo,2025,0,4,0,55690,,0,0,0,1,,,,,,,,
476125,"Everdell: Card Expansion – Legends, Extra! Extra! & Rugwort",2025,0,5,0,,297972;297973,0,0,0,1,,,,,,,,
445051,Kingdom Death: Monster – Pain Eater Promo Card,2025,0,5,0,55690,,0,0,0,1,,,,,,,,
371789,Age of Steam Expansion: Sado,2022,0,7,0,4098,,0,8,1,1,,,,,,,,
463898,Kingdom Death: Monster – Furnace Lantern Promo Card,2026,0,8,0,55690,,0,0,0,1,,,,,,,,
474036,Kingdom Death: Monster – Indomitable Survivor: Pulverizing Star Venus,2026,0,8,0,55690,,0,0,0,1,,,,,,,,
474031,Kingdom Death: Monster – Pride Katana Promo Card,2026,0,9,0,55690,,0,0,0,1,,,,,,,,
457465,Kingdom Death: Monster – Speaker Cult Pipe and Osseous Scrap Blade Promo Cards,2025,0,10,0,55690,,0,0,0,1,,,,,,,,
438873,Kingdom Death: Monster – Thermal Wrappings Promo,2025,0,10,0,55690,,0,0,0,1,,,,,,,,
461352,Kingdom Death: Monster – Woe Hachigane and Woe Kusarigama Promo Cards,2025,0,10,0,55690,,0,0,0,1,,,,,,,,
465924,Kingdom Death: Monster – Obligate Gallant Promo Cards,2026,0,13,0,55690,,0,0,0,1,,,,,,,,
458548,Age of Steam Expansion: Powerhouses of the North / Phase IV:March of the Ants,2025,0,14,0,4098,,0,8,2,1,,,,,,,,
